SOURCE_ID,densidad_e,Porc_Plaza,Temperatur,Renta,Tasa_Centr,Esperanza_,Tasa_Fecun,saldo_neto,pob_extr,porc_extr,Shape_Leng,Shape_Area,INTRCPT,SE_INTRCPT,C_PORC_PLA,SE_PORC_PL,C_TEMPERAT,SE_TEMPERA,C_RENTA,SE_RENTA,C_TASA_CEN,SE_TASA_CE,C_ESPERANZ,SE_ESPERAN,C_TASA_FEC,SE_TASA_FE,C_SALDO_NE,SE_SALDO_N,C_POB_EXTR,SE_POB_EXT,C_PORC_EXT,SE_PORC_EX,PREDICTED,RESIDUAL,STDRESID,INFLUENCE,COOKS_D,CND_NUMBER,LOCALR2,NUM_NEIGHS,name
29,8.95774,2.61342,18,19830,14.5496,19.96,8,412,47380,8.93312,5.56307587431,1.04966479997,-850.393870709,530.10161258,4.25457339767,6.81654313651,27.5571407661,10.3243174898,0.0385254203125,0.00424546134373,-0.43299386295,0.472638905332,-16.5517455909,18.5953508401,-17.5432554491,17.9033993015,-0.0207075521507,0.00495461905546,-0.000966101753758,0.000137626776946,16.4554428175,3.63435355916,36.3870063805,-27.4292665505,-0.739912787024,0.277636899311,0.0103446566827,204296942.303,0.942221580542,44,Huelva
30,3.21668,6.91705,12.7,23907,66.0092,20.96,6.73,1367,27825,12.5633,6.86366209827,1.71541427593,-108.016131721,472.499668343,-2.67284012299,8.45647412067,4.61658200219,8.48201537292,0.00426498481077,0.00382124377343,0.0883836398487,0.520948080454,2.52817236644,20.4983646805,-11.4041455686,14.5426809051,-0.00133351850748,0.00485367258571,0.0000847188234381,0.000121037499874,-0.620568644557,3.25141338674,8.9019976043,-5.6853175544,-0.143469994926,0.174578992004,0.000214028700124,266758118.67,0.741323978708,44,Huesca
31,8.00815,6.15989,10.6,23202,63.7147,20.51,4.98,208,20345,4.47078,7.25110850327,1.71836927264,-280.353714848,506.674020658,-2.38196200744,7.85959860512,9.24516962304,10.9218157014,0.00572249607106,0.00400142426645,0.166158614923,0.497936987166,6.25472227316,19.9759461208,-12.7492207039,19.4837794075,-0.001685373757,0.00635050214902,0.0000489113640078,0.000163100874792,-0.0844909333578,4.20445757513,11.3926017572,-3.38445165652,-0.0983821272428,0.37793976247,0.000289105228366,158973803.781,0.761733087283,44,León
32,7.0654,5.67558,12.3,24901,36.9767,20.64,7.8,1441,79833,18.2721,6.72017841082,1.31813149085,-74.4032606233,481.361908629,-2.87795081771,8.55028244059,3.16034012128,8.58435227409,0.00380444093955,0.00382234324929,0.0679280685934,0.527217636983,2.22716061552,21.0187034663,-10.5321831527,14.1910203505,-0.000869554386895,0.00484151946695,0.000100494506003,0.000120339620183,-0.777702284521,3.19113348885,1.75808184571,5.30731827789,0.158304284793,0.409182765969,0.000853262978842,283304556.904,0.715710421018,44,Lleida
33,13.4379,4.74821,12.2,26100,29.3536,20.56,7.33,327,40210,12.7168,4.79964800054,0.549147851636,-238.675570127,486.81902047,-2.13317165411,8.06526459203,9.80466104054,10.2068009565,0.00549868592303,0.00384736743836,0.156385278736,0.497369551917,4.61447188659,19.5150483916,-14.1729890549,17.3472442101,-0.00306133344853,0.00565031795217,0.0000261128421606,0.000144197062469,-0.0524855995828,3.73723499395,9.28574257465,4.15215701489,0.116730371549,0.334928971384,0.00033735395499,217364461.475,0.781104067469,44,La Rioja
34,2.18581,11.0756,11.3,22720,158.033,20.27,6.61,146,8271,9.24578,5.93185626639,1.1110924693,-220.658512616,476.549138047,-1.80273662437,7.82139719432,8.84729415015,10.0347115937,0.00535669305904,0.00395580692378,0.143651490366,0.504600175555,4.19441730699,19.5763675066,-13.5986500704,16.6604042317,-0.00226373728486,0.00546075801664,0.0000449681058223,0.000140217469595,-0.120293151909,3.70227082134,-2.18174973742,4.36755982653,0.151427596409,0.562723743109,0.00145071728368,220901959.225,0.764847590394,44,Soria
35,12.7464,4.60785,13,33106,21.8199,21.07,7.66,799,70666,10.7432,6.65025766154,1.14534504863,-212.219843755,495.37511826,-2.390723864,8.69723662883,8.95158192997,9.81423962931,0.00518585289757,0.00395333096327,0.141326313783,0.515980538832,4.29699532341,20.3567796171,-13.8458513205,17.2954956852,-0.00316248387619,0.00557234014957,0.0000303639674911,0.000140183489695,-0.129786942472,3.72063594359,50.6042158731,-37.8578159936,-1.07761345252,0.351256032121,0.030910771975,252847836.042,0.786005084901,44,Navarra
36,533.7,2.04235,18.9,30209,2.81057,18.05,10.04,-1116,5705,6.83217,0.227941877182,0.00196661363872,-750.88988049,558.179467652,7.18244065387,7.13139825735,36.0891460602,10.9321937783,0.040187537628,0.00423624251494,-0.141039203909,0.520723304854,-32.362937094,19.7989607493,-17.1497173494,17.5887878303,-0.0191060014805,0.00491766075859,-0.000909331944657,0.000136931148332,17.3726894202,3.50714005425,537.986523146,-4.28651093922,-0.137422073527,0.488573641244,0.000886938085395,210489598.772,0.952578633048,44,Ceuta
37,9.74554,4.22271,12.2,20708,9.57815,21.38,5.13,786,16153,4.94526,5.48605313935,1.0918846297,-307.953078698,519.827396414,-2.13846645713,7.80856090225,8.86628088531,11.1941381344,0.00561748294729,0.00414372608082,0.149683391424,0.507881624975,7.7002991054,20.4916184523,-12.2832951978,20.2687336996,-0.00141373643361,0.00654596862691,0.0000558071838217,0.000167080530671,0.0627572999034,4.4648646543,10.6656396638,-0.920099998529,-0.0257417262371,0.328442884914,0.0000159325621889,161151977.865,0.725963261433,44,Lugo
38,152.117,4.30725,14.4,35067,4.15166,20.09,7.75,-20836,995714,14.7453,5.99092076532,0.845068817409,-146.484779018,435.759850577,-1.40067499099,6.85283380022,5.31768534228,9.38543800755,0.00429838043176,0.00376997134435,0.0824110888713,0.481802719676,2.52006346669,18.0600049241,-9.33199949585,15.8042613828,-0.000627188307288,0.00510719340155,0.0000875351250467,0.000137528301321,-0.0810053031885,3.47700393741,152.468956803,-0.351952408012,-0.0633395342867,0.983770453688,0.0119555761901,198255623.724,0.649981207801,44,Madrid
39,5.11873,10.3892,11.4,23140,77.1545,19.66,5.89,59,7166,4.51846,5.86747456728,0.86602862592,-253.485955275,483.83743619,-2.3913315064,7.56600560988,9.44892440032,10.3334369877,0.0057741128514,0.00378896476471,0.17137019985,0.477190989023,4.94702996543,18.997837653,-13.1498986278,18.0929588804,-0.00212548188736,0.00588412373485,0.0000396392822757,0.000152807929503,-0.207452081935,3.79057412693,-4.75029357148,9.86902363969,0.296351356234,0.417061459037,0.0030890469645,162753570.599,0.774223952662,44,Palencia
40,7.11328,8.3211,12.7,22926,51.2243,20.73,5.49,199,14983,4.56857,6.15053745763,1.31651295043,-223.26340454,469.759719353,-1.66459978014,6.91735984501,5.46059032675,10.5447382976,0.00443846283773,0.00394696344684,0.0793810652491,0.459696380099,5.85503805786,18.2403149663,-8.5336900975,18.7361140851,-0.000125821758482,0.00579371463105,0.0000941212942678,0.000157110158097,0.0166498010505,4.20012078498,14.0434546782,-6.93017485867,-0.17772582352,0.200763067925,0.000390070165438,182948672.392,0.620671472582,44,Salamanca
41,4.99971,8.58885,12.4,22805,91.6106,19.68,6.18,879,17965,11.6526,4.52007413362,0.740638152263,-194.943725057,452.765841858,-1.74388123473,7.11870579148,7.61433094243,10.0139443913,0.00544823353884,0.00381224138185,0.136728003826,0.48386140669,3.0072537326,18.1172825154,-11.9554253308,17.1093821806,-0.000955173121603,0.00563284359875,0.0000694513464135,0.000147996507625,-0.215375149541,3.82667415501,4.46538573893,0.534324344074,0.0148894092214,0.323070844904,0.00000520167081878,187413039.715,0.764022845532,44,Segovia
42,23.6717,2.7533,18.3,24286,6.41072,19.67,7.94,595,76287,3.89093,7.249016236,1.42368831732,-804.409548296,545.054900796,5.35087515059,6.94766582774,32.3672865275,10.512662268,0.038755674673,0.00424556523401,-0.182996827515,0.487713041694,-24.2093512053,19.263556422,-16.5173886789,17.5581769474,-0.0191889363084,0.00488523709908,-0.000905307135888,0.00013595946112,16.0899233345,3.52465195415,117.469683167,-93.7979836434,-2.51610332179,0.269503243085,0.114824887886,198575847.539,0.943697891788,44,Sevilla
43,8.28517,8.34439,15.8,21765,19.1608,19.52,7.73,5207,71967,10.2207,8.18232521462,1.61044192214,-70.1334763977,466.068122798,-1.51234816433,6.76187544324,3.38538994483,9.97504039433,0.00341305013449,0.0042505666684,0.0769823863255,0.465295094623,-0.132015809724,18.4870905673,-5.63521394274,16.2312708864,-0.000351857142817,0.00498212213593,0.000101693726797,0.000143353347842,-0.159251500794,3.44453746773,4.21780084863,4.06736875281,0.177370330692,0.723590240159,0.00404887773681,210201255.455,0.456860000825,44,Toledo
